Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,ADP,playerid
Troy Tulowitzki,Blue Jays,115,471,429,110,20,0,15,50,53,35,79,4,1,0,0.256,0.316,0.408,0.724,0.311,2,-0.1,1.8,382.3,3531
Chase Headley,Padres,116,481,426,111,18,1,9,45,49,46,103,5,4,1,0.261,0.337,0.371,0.708,0.311,-1,0,1.2,411.6,4720
Jorge Alfaro,Phillies,111,440,408,102,21,2,16,52,54,20,127,10,2,1,0.25,0.3,0.429,0.729,0.31,-2,-0.3,1.4,245.6,12180
Jose Bautista,,98,399,344,78,12,1,14,43,46,48,97,3,2,1,0.227,0.323,0.39,0.713,0.31,-4,-0.3,-0.2,395.7,1887
Jacoby Ellsbury,Yankees,100,390,349,92,17,3,5,39,40,35,59,4,17,4,0.264,0.336,0.372,0.708,0.31,-1,1.4,0.9,441.8,4727
Yadier Molina,Cardinals,126,519,481,133,25,1,12,50,53,29,67,3,4,1,0.277,0.318,0.407,0.725,0.31,3,0.1,2.3,148.1,7007
Albert Pujols,Angels,124,523,480,122,17,0,22,60,67,36,76,3,3,1,0.254,0.308,0.427,0.735,0.31,-2,-0.1,0,317.7,1177
Andrelton Simmons,Angels,148,622,570,156,29,2,11,57,64,43,58,4,15,3,0.274,0.326,0.389,0.716,0.309,15,1.3,4,202.4,10847
Kevin Pillar,Blue Jays,140,539,504,133,33,2,13,63,61,26,84,6,16,4,0.264,0.306,0.415,0.721,0.309,9,1.2,2.4,329,12434
Ezequiel Carrera,Blue Jays,95,361,324,89,9,1,4,38,37,32,85,4,6,1,0.275,0.346,0.346,0.692,0.309,-3,0.5,0.1,649.8,9048
Tucker Barnhart,Reds,126,502,446,120,26,1,7,46,50,49,80,3,4,1,0.269,0.343,0.379,0.722,0.308,7,0.1,2.4,327.9,10200
Mike Marjama,Mariners,40,146,133,33,7,1,4,19,17,10,28,2,0,0,0.248,0.308,0.406,0.714,0.307,1,-0.1,0.8,730.5,12594
Dee Gordon,Mariners,152,695,654,197,19,9,2,76,44,32,95,5,57,13,0.301,0.337,0.367,0.704,0.307,1,5.4,2.6,28.4,8203
Eduardo Escobar,Twins,115,455,418,107,18,3,13,49,52,31,86,3,4,2,0.256,0.31,0.407,0.717,0.306,-1,-0.3,0.9,436.5,6153
Carson Kelly,Cardinals,79,311,281,72,13,0,7,32,33,25,48,3,0,0,0.256,0.322,0.377,0.699,0.305,2,-0.2,1.3,531.8,13620
Amed Rosario,Mets,147,587,544,144,22,9,11,53,59,33,141,5,26,7,0.265,0.31,0.399,0.709,0.304,9,1.9,2.8,234.3,15518
Alex Gordon,Royals,135,545,477,115,21,1,12,50,55,51,131,13,4,1,0.241,0.328,0.365,0.693,0.303,10,0,1.3,527,5209
Jake Marisnick,Astros,93,346,316,76,14,2,11,44,41,23,91,5,12,3,0.241,0.301,0.402,0.702,0.302,2,0.9,0.8,529.8,11339
Jason Castro,Twins,110,412,364,85,19,1,9,47,44,45,112,2,1,0,0.234,0.32,0.365,0.686,0.301,1,-0.1,1.5,377.8,8722
Aledmys Diaz,Blue Jays,75,293,273,71,15,1,7,31,31,15,42,3,2,1,0.26,0.304,0.399,0.703,0.301,-2,-0.2,0.4,477.1,15937
Zack Granite,Twins,71,289,257,66,7,3,2,21,23,28,28,2,9,2,0.257,0.332,0.331,0.663,0.296,3,0.7,0.4,632.4,15343
Jose Peraza,Reds,134,571,532,148,16,6,5,41,48,29,73,6,30,8,0.278,0.32,0.359,0.68,0.295,1,2.2,1.1,205,13593
Jose Reyes,Mets,99,420,386,100,13,3,7,34,39,31,63,1,14,3,0.259,0.314,0.363,0.677,0.295,-4,1.3,0.3,324.2,1736
Ehire Adrianza,Twins,60,219,195,50,7,1,2,22,20,19,33,3,6,2,0.256,0.329,0.333,0.662,0.295,3,0.2,0.6,673.8,8418
Jordy Mercer,Pirates,135,529,479,120,20,2,11,51,52,45,79,3,4,3,0.251,0.318,0.37,0.687,0.293,-1,-0.8,0.7,504.8,6547
Raul Mondesi,Royals,125,469,439,110,16,8,10,49,46,23,134,2,29,4,0.251,0.288,0.392,0.68,0.289,5,3.9,1.6,352.8,13769
Taylor Motter,Mariners,55,198,179,43,9,0,4,22,20,16,43,1,7,1,0.24,0.303,0.358,0.661,0.288,-1,0.9,0.3,615.1,12399
Sandy Leon,Red Sox,65,237,213,50,8,1,5,25,23,20,58,2,0,0,0.235,0.304,0.352,0.656,0.286,1,-0.1,0.6,545.8,5273
Martin Maldonado,Angels,115,421,379,86,17,0,11,46,43,29,103,11,1,1,0.227,0.299,0.359,0.658,0.284,3,-0.5,1.4,401.8,6887
Billy Hamilton,Reds,137,597,550,140,21,8,3,38,42,43,124,1,60,9,0.255,0.308,0.338,0.646,0.284,12,7.8,1.8,62.2,10199
Matt Wieters,Nationals,102,396,362,86,14,1,10,38,38,28,81,2,0,0,0.238,0.293,0.365,0.658,0.283,0,-0.2,0.5,329,4298
Ronald Torreyes,Yankees,87,318,301,84,10,2,1,27,24,12,36,2,3,1,0.279,0.308,0.336,0.644,0.281,1,0,0.2,498.3,11400
Alcides Escobar,Royals,144,520,496,125,26,5,5,45,40,16,78,4,10,3,0.252,0.279,0.355,0.634,0.272,2,0.5,0.3,529.2,6310
