Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,RA9-WAR,ADP,playerid
Mike Shawaryn,Red Sox,0,0,5.59,0,0,0,1,1,1,0,1,1,1.58,7.04,4.72,5.52,0,0,999,sa738524
Keith Butler,,0,0,5.48,0,1,0,1,1,1,0,1,0,1.57,6.66,4.34,5.52,0,0,999,10080
Abraham Elvira,,0,0,5.27,0,1,0,1,1,1,0,1,1,1.63,5.96,4.85,5.52,0,0,999,sa508766
Aaron Harang,,0,0,5.59,0,0,0,1,1,1,0,1,0,1.49,5.97,3.14,5.53,0,0,999,1451
Jose Carlos Medina,Padres,0,0,5.32,0,0,0,1,1,1,0,1,0,1.65,4.61,4.41,5.53,0,0,999,sa737197
Anderson Espinoza,Padres,0,0,5.38,0,0,0,1,1,1,0,1,1,1.64,5.89,4.96,5.53,0,0,999,sa872856
Jonathan Dziedzic,Royals,0,0,5.43,0,0,0,1,1,1,0,1,0,1.51,6.16,3.8,5.53,0,0,999,sa659070
Mark Blackmar,,0,0,5.49,0,0,0,1,1,1,0,1,0,1.6,4.78,3.83,5.53,0,0,999,sa549945
Brandon Quintero,,0,0,5.42,0,1,0,1,1,1,0,1,1,1.68,5.91,5.19,5.53,0,0,999,sa875655
Adrian Guzman,,0,0,5.25,0,1,0,1,1,1,0,1,1,1.65,5.86,5.06,5.53,0,0,999,sa655012
Kyle Hart,Red Sox,0,0,5.38,0,0,0,1,1,1,0,1,1,1.63,5.76,4.8,5.53,0,0,999,sa918414
Jose Velez,,0,0,5.22,0,1,0,1,1,1,0,1,1,1.68,7.37,5.99,5.53,0,0,999,sa869964
Alex Hermeling,Dodgers,0,0,5.22,0,1,0,1,1,1,0,1,1,1.61,6.39,5.04,5.53,0,0,999,sa602673
Daniel Castano,Marlins,0,0,5.33,0,0,0,1,1,1,0,1,1,1.66,4.84,4.71,5.53,0,0,999,sa873271
Zack Jones,Twins,0,0,5.52,0,0,0,1,1,1,0,1,1,1.57,7.36,4.75,5.54,0,0,999,sa502134
Jhonny Polanco,,0,0,5.39,0,1,0,1,1,1,0,1,1,1.6,8.2,5.49,5.54,0,0,999,sa504741
Yeizo Campos,Mets,0,0,5.47,0,0,0,1,1,1,0,1,0,1.59,6.04,4.36,5.54,0,0,999,sa919234
Miguel Nunez,,0,0,5.4,0,1,0,1,1,1,0,1,1,1.58,7.15,4.91,5.54,0,0,999,sa547827
Branden Kline,Orioles,0,0,5.56,0,0,0,1,1,1,0,1,0,1.54,6.35,3.68,5.54,0,0,999,sa501558
Joel Huertas,Mets,0,0,5.27,0,1,0,1,1,1,0,1,1,1.67,6.52,5.54,5.54,0,0,999,sa829206
Toller Boardman,,0,0,5.3,0,1,0,1,1,1,0,1,1,1.64,5.61,4.75,5.54,0,0,999,sa875348
Santiago Gutierrez,,0,0,5.34,0,0,0,1,1,1,0,1,0,1.64,4.88,4.4,5.54,0,0,999,sa295625
Caleb Simpson,Giants,0,0,5.22,0,1,0,1,1,1,0,1,1,1.73,7.93,6.98,5.54,0,0,999,sa738717
Brody Koerner,Yankees,0,0,5.47,0,0,0,1,1,1,0,1,0,1.52,5.4,3.22,5.55,0,0,999,sa875744
Will Hibbs,Phillies,0,0,5.36,0,1,0,1,1,1,0,1,1,1.66,7.45,5.7,5.55,0,0,999,sa918392
Raymundo Montero,,0,0,5.37,0,1,0,1,1,1,0,1,1,1.67,6.65,5.54,5.55,0,0,999,sa507006
Chris Jensen,Rockies,0,0,5.62,0,1,0,1,1,1,0,1,0,1.54,5.89,3.49,5.55,0,0,999,sa579619
